Ruta;Origen;Destino;Estaciones de Parada
G30;Portal Suba;Portal Sur;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur. 
G41;Bicentenario;San Mateo;Bicentenario, San Bernardo, Policarpa, San Victorino, San Diego, Las Nieves, Calle 19, Av. Jiménez, Guatoque - Veraguas, Sans Façon - Carrera 22, De La Sabana, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
G42;Portal 80;G. Santander;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander. 
G43;Portal Suba;San Mateo;Portal Suba, 21 Ángeles, Niza 127, Humedal Córdoba, Av. Suba - Calle 116, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
G44;Portal Norte;Portal Sur;Portal Norte, Calle 100, La Castellana, NQS - Calle 75, Universidad Nacional, CAD, Paloquemao, Ricaurte, General Santander, Portal Sur. 
G45;Portal Sur;San Mateo;Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
G46;Portal Norte;San Mateo;Portal Norte, Calle 100, Calle 72, Marly, Calle 26, Ricaurte, General Santander, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo.
G47;Portal 20 Julio;San Mateo;Portal 20 de Julio, Country Sur, Av. 1 de Mayo, Ciudad Jardín, San Cristóbal, San Blas, Policarpa, San Bernardo, Bicentenario, San Victorino, Las Nieves, San Diego, Centro Memoria, Concejo de Bogotá, Ciudad Universitaria, Corferias, Quinta Paredes, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Avenida Rojas, Normandía, Modelia, Portal El Dorado, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
H13;Portal Norte;Portal Tunal;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H15;Portal Suba;Portal Tunal;Portal Suba, 21 Ángeles, Niza 127, Humedal Córdoba, Av. Suba - Calle 116, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Escuela Militar, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H17;Portal Suba;Portal Usme;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H20;Portal 80;Portal Usme;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, Polo, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H21;Portal 80;Portal Tunal;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, Polo, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H27;Portal Norte;Portal Usme;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H54;Portal Suba;Portal Usme;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H72;Portal Norte;Portal Usme;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H73;Portal Norte;Portal Tunal;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H75;Portal Norte;Portal Usme;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme.
J23;Portal Américas;Las Aguas;Portal Américas, Patio Bonito, Biblioteca Tintal, Transversal 86, Banderas, Mandalay, Américas - Av. Boyacá, Marsella, Pradera, Distrito Grafiti, Puente Aranda, Carrera 43, Zona Industrial, CDS - Carrera 32, Ricaurte, Sans Façon - Carrera 22, De La Sabana, Av. Jiménez, Museo del Oro, Las Aguas. 
J24;Portal 80;Universidades;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, Polo, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Universidades. 
J70;Portal Norte;Las Aguas;Portal Norte, Toberín, Calle 100, Calle 72, Calle 26, Universidades, Las Aguas. 
J73;Portal Suba;Universidades;Portal Suba, La Campiña, Suba - TV 91, 21 Ángeles, Niza 127, Shaio, Puentelargo, Av. Suba - Calle 100, Rionegro, San Martín, Polo, Escuela Militar, Calle 72, Calle 57, Marly, Calle 45, Calle 26, Universidades. 
J74;Portal Norte;Universidades;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Universidades. 
K10;Portal 20 Julio;Portal El Dorado;Portal 20 de Julio, Av. 1 de Mayo, Ciudad Jardín, San Cristóbal, San Blas, Policarpa, San Bernardo, Bicentenario, San Victorino, Las Nieves, Calle 19, Calle 22, Centro Memoria, Concejo de Bogotá, Ciudad Universitaria, Corferias, Quinta Paredes, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Avenida Rojas, Normandía, Modelia, Portal El Dorado. 
K16;Portal Norte;Portal El Dorado;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 26, Centro Memoria, Concejo de Bogotá, Ciudad Universitaria, Corferias, Quinta Paredes, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Avenida Rojas, Normandía, Modelia, Portal El Dorado. 
K23;Portal Norte;Portal El Dorado;Portal Norte, Calle 100, La Castellana, NQS - Calle 75, Universidad Nacional, CAD, Gobernación, CAN, Av. Rojas, Portal El Dorado. 
K43;San Mateo;Portal El Dorado;San Mateo, Terreros - Hospital CV, León XIII, La Despensa, Bosa, Portal Sur, General Santander, NQS - Calle 38 Sur, Sena, Ricaurte, Paloquemao, CAD, Ciudad Universitaria, Corferias, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Av. Rojas, Portal El Dorado. 
K54;Portal Usme;Portal El Dorado;Portal Usme, Molinos, Consuelo, Socorro, Santa Lucía, Calle 40 Sur, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Centro Memoria, Concejo de Bogotá, Ciudad Universitaria, Corferias, Quinta Paredes, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Avenida Rojas, Normandía, Modelia, Portal El Dorado. 
K86;Hacienda Santa Bárbara;Portal El Dorado;Museo Nacional, Calle 26, Centro Memoria, Concejo de Bogotá, Ciudad Universitaria, Corferias, Quinta Paredes, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Avenida Rojas, Normandía, Modelia, Portal El Dorado. 
L10;Portal El Dorado;Portal 20 Julio;Portal El Dorado, Modelia, Normandía, Avenida Rojas, El Tiempo - Maloka, Salitre - El Greco, CAN, Gobernación, Quinta Paredes, Corferias, Ciudad Universitaria, Concejo de Bogotá, Centro Memoria, Calle 22, Calle 19, Las Nieves, San Victorino, Bicentenario, San Bernardo, Policarpa, San Blas, San Cristóbal, Ciudad Jardín, Av. 1 de Mayo, Country Sur, Portal 20 de Julio. 
L18;Portal Norte;Portal 20 Julio;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Las Nieves, San Victorino, Bicentenario, San Bernardo, Policarpa, San Blas, San Cristóbal, Ciudad Jardín, Av. 1 de Mayo, Country Sur, Portal 20 de Julio. 
L25;Portal Suba;Portal 20 Julio;Portal Suba, La Campiña, Suba - TV 91, 21 Ángeles, Niza 127, Shaio, Puentelargo, Av. Suba - Calle 100, Rionegro, San Martín, Polo, Escuela Militar, Calle 72, Calle 57, Marly, Calle 45, Calle 26, Las Nieves, San Victorino, Bicentenario, San Bernardo, Policarpa, San Blas, San Cristóbal, Ciudad Jardín, Av. 1 de Mayo, Country Sur, Portal 20 de Julio. 
L41;San Mateo;Bicentenario;San Mateo, Terreros - Hospital CV, León XIII, La Despensa, Bosa, Portal Sur, Perdomo, Madelena, Sevillana, Venecia, General Santander, NQS - Calle 38 Sur, NQS - Calle 30 Sur, Sena, Comuneros, Santa Isabel, Ricaurte, De La Sabana, Sans Façon - Carrera 22, Guatoque - Veraguas, Av. Jiménez, Calle 19, Las Nieves, San Diego, San Victorino, Bicentenario. 
M81;Portal 80;Museo Nacional;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, Polo, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Museo Nacional. 
M82;Portal Norte;Museo Nacional;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Museo Nacional. 
M83;Portal 20 Julio;Museo Nacional;Portal 20 de Julio, Country Sur, Av. 1 de Mayo, Ciudad Jardín, San Cristóbal, San Blas, Policarpa, San Bernardo, Bicentenario, San Victorino, Las Nieves, San Diego, Museo Nacional. 
M84;Portal Suba;Museo Nacional;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Héroes, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Museo Nacional. 
M86;Portal El Dorado;Hacienda Santa Bárbara;Portal El Dorado, Modelia, Normandía, Avenida Rojas, El Tiempo - Maloka, Salitre - El Greco, CAN, Gobernación, Quinta Paredes, Corferias, Ciudad Universitaria, Concejo de Bogotá, Centro Memoria, Calle 26, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Calle 76.
B44;Portal Sur;Portal Norte;Portal Sur, Madelena, General Santander, NQS - Calle 38 Sur, Comuneros, Ricaurte, Paloquemao, CAD, Universidad Nacional, NQS - Calle 75, La Castellana, Calle 100, Portal Norte. G44;Portal Norte;Portal Sur;Portal Norte, Calle 100, La Castellana, NQS - Calle 75, Universidad Nacional, CAD, Paloquemao, Ricaurte, General Santander, Portal Sur. 
E42;Portal 80;G. Santander;Portal 80, Quirigua, Granja - Cra 77, Av. 68, Ferias, Escuela Militar, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Niza 127, 21 Ángeles, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander. 
G42;G. Santander;Portal 80;General Santander, NQS - Calle 38 Sur, NQS - Calle 30 Sur, Sena, Comuneros, Santa Isabel, Ricaurte, Paloquemao, CAD, Av. Dorado, Universidad Nacional, Campín - UAN, 7 de Agosto, Movistar Arena, 21 Ángeles, Niza 127, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Escuela Militar, Ferias, Av. 68, Granja - Cra 77, Quirigua, Portal 80. 
L25;Portal Suba;Portal 20 Julio;Portal Suba, La Campiña, Suba - TV 91, 21 Ángeles, Niza 127, Shaio, Puentelargo, Av. Suba - Calle 100, Rionegro, San Martín, Polo, Escuela Militar, Calle 72, Calle 57, Marly, Calle 45, Calle 26, Las Nieves, San Victorino, Bicentenario, San Bernardo, Policarpa, San Blas, San Cristóbal, Ciudad Jardín, Av. 1 de Mayo, Country Sur, Portal 20 de Julio. 
J24;Portal 80;Universidades;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, Polo, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Universidades. 
K43;San Mateo;Portal El Dorado;San Mateo, Terreros - Hospital CV, León XIII, La Despensa, Bosa, Portal Sur, General Santander, NQS - Calle 38 Sur, Sena, Ricaurte, Paloquemao, CAD, Ciudad Universitaria, Corferias, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Av. Rojas, Portal El Dorado. 
G43;Portal Suba;San Mateo;Portal Suba, 21 Ángeles, Niza 127, Humedal Córdoba, Av. Suba - Calle 116, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
F51;Portal Norte;Portal Américas;Portal Norte, Toberín, Calle 100, Calle 85, Calle 76, Calle 26, Ricaurte, Distrito Grafiti, Banderas, Portal Américas.